wint_season,Pine Siskin,Red-breasted Nuthatch,Evening Grosbeak,Pine Grosbeak,Purple Finch,redpoll sp.,Red Crossbill,White-winged Crossbill
1983,-1.3990353194453449,-0.058473043499265145,-1.3710580192713824,-1.4861867430968385,1.7140960047816278,-1.182877958125788,-1.4963791484853222,-0.49850498023968653
1984,0.3258678146236941,-0.16210810246694976,1.628429818931817,0.014591049304339493,0.6122166654096222,-0.1459222933468775,-1.1872698996206354,-0.9946152321795219
1985,-0.5398927524903138,-1.0307781564309189,-1.2776738561589318,0.4433081401336532,-1.622169145186184,-0.502500124828989,1.8799744581288853,1.1818443816889683
1986,0.19342383770289615,1.2606547646989565,2.5199993771185105,1.9404949049104068,0.28417038010101536,1.0920502884642096,-0.5876887581595108,-0.1406211940206452
1987,0.7295233431987728,-0.20668136982564816,0.5063569779062235,-0.24684831554831418,-0.19355074557587004,0.7667117070657357,0.1163218186859033,-0.7940926327891974
1988,1.6487291158446828,-0.5873931561870047,0.9157514798148731,-0.35692097542472395,0.7345832648153587,-0.1090543098647566,0.38360654807947553,0.27171639930905783
1989,-0.9319092478279256,-0.8415956131069852,-1.4746371254159911,-1.7375440143101855,-1.201122027596476,-0.7930754145445522,-0.8215274230034092,-0.2288380951042838
1990,1.6342125419910012,1.0989241947169426,0.3994393589532109,1.4307848259029723,0.6169645731172603,0.4180041209455854,0.09561598840740963,1.4501496995795866
1991,0.035905515785457934,-0.6053454344004932,-0.0040017579057272604,-0.7729473915059171,0.6597589748974555,-1.188359330377585,0.10367794823510643,-1.3057747839721718
1992,-0.1772897517368805,-0.7198409179215034,-0.9822270041551399,-0.4660188225529894,-0.25593932296188426,0.6681370539133007,-0.8159592979069128,-0.5344675569382682
1993,0.09377125259182241,-1.025018740708975,-1.4176290717763804,-0.4963861057117818,0.16107668418768692,-1.0712542261246676,-0.7878978769799345,-0.43940772938073586
1994,0.6985688897329281,0.8303937270522961,0.9674052335433441,0.5723518138089942,0.13800520445027958,1.202548678528631,-0.562340252791116,-0.7196754353822267
1995,-0.8590993654208076,-1.188196747569035,-0.9471734252341651,-0.47815580868523727,-1.0556578396471719,-1.28487919490948,0.18099871038811224,-0.024311237446279315
1996,0.8025869984089267,1.5212456962214427,1.6149790077818995,1.0328627157164465,1.3688877403913324,1.232943111941386,-0.2754398161390907,0.36374499609722444
1997,-0.9855820430489353,-0.5694552696573619,-0.5100707751671574,-0.8760330234172431,0.2526593479014647,-1.203419268866558,0.7773744225568493,-0.2608617717065685
1998,0.2741229624994334,1.3621214717539207,0.8757700898255427,1.0390382590315161,-0.320554335510694,1.0233229457483504,1.498047140711891,1.690649953353767
1999,-0.6221707990896422,-1.0313183042210636,-1.164171988595609,-1.0363353883737154,-1.1147257458780815,-1.0838974363815,-0.05250793306846029,-0.4671595541359087
2000,0.03403372224879533,1.3021572477552126,0.27374732279497355,-0.2919016775525828,-0.09182025938855111,0.9782946156296147,1.0055813633223474,0.18407701756072842
2001,-0.5259210950210434,-0.6054731089555727,-0.5916367771167464,-0.608218743490186,0.13868205781272308,-0.9037417232695416,-0.044106497090070036,-0.5514158338995538
2002,0.2554755929372614,1.0043777057638146,0.3372904066882635,1.1372423714322608,-0.8978645020018592,0.8367313824444491,0.2945957501355017,1.5847993673362026
2003,-1.5984758772236831,-1.074065501381403,-1.0780756811789252,-1.2117825037778105,-2.262546962853669,-1.4700870203538183,-0.7254529675092144,-0.1499497887788857
2004,-0.8036760646986264,-0.6864122133116863,-0.16356099662538917,0.1382875728931164,0.013245388467535923,0.915469259925764,-0.850620440594423,0.12497100075148208
2005,0.7484760806862935,0.9116505232909268,-0.18145794594633816,0.1533762057960414,1.8571629059869297,0.45101545438956153,-0.20673011867222119,-0.5067023190972955
2006,-0.2650120724572295,-0.046801410118090886,0.058958370506655325,-0.13320594929801613,-0.09226327895022542,-0.5042292950953665,-0.5244637505213737,-1.1168574761453631
2007,-1.552968221588433,-0.793287963620487,-0.7080595251190639,-0.27282610936389734,-1.818723813618427,-0.8363064726343059,-0.40280463353074414,-0.3105956031578711
2008,0.3690425698550364,1.739640118784984,0.6508567470865303,1.872206950250507,0.7162884557612117,1.2714990115235487,0.7882482468716417,-0.34213580059230614
2009,1.944761693832397,-0.738341396314398,0.039185258998012534,0.45538369913181653,0.9368761438872553,0.4860127273284108,0.30888429855717153,2.263692087849753
2010,-0.6785473472098943,-0.09373618722802218,-0.6673622393473544,-0.949686757637356,-0.6532807389015003,-1.12238428782426,-0.9177765138750701,-0.35468770646678854
2011,0.9641513253165928,0.42910977061285155,0.07516092643557604,-0.19548291143295726,1.008361267968343,0.2461754897293721,-0.7250631562533366,-0.3379682025088029
2012,-0.6461909429581171,-1.2466422173697576,-0.7005877855429566,-0.23616478165706295,-0.7115928417525448,0.034785205482111954,-0.13224469817667034,0.5947865720517214
2013,1.5342819462334965,1.9587835201025963,1.0466003104095774,1.8091940557653834,-0.016666818144521752,1.9027619100504183,3.326407454393438,2.4675361803351534
2014,-1.963773425848092,-1.0656929615458288,-0.8216733539360264,-1.6439169275633345,-1.3246848267464504,-1.4373648271894166,-1.4699195434289969,-1.7601899564172696
