wint_season,Pine Siskin,Red-breasted Nuthatch,Evening Grosbeak,Pine Grosbeak,Purple Finch,redpoll sp.,Red Crossbill,White-winged Crossbill
1983,-1.3623338754915104,-0.059611381530625576,-1.3871206384390755,-1.602623781792241,1.5223874432400457,-1.2326952088906444,-1.511870096968981,-0.5155530555321154
1984,0.3173191960373445,-0.1652639809228424,1.6475076753428226,0.01573420212840233,0.5437449018969273,-0.1520678533599852,-1.1995608600164942,-1.0286294868757144
1985,-0.5257295335056348,-1.0508450779924012,-1.2926424339167901,0.478039634884556,-1.440741901593489,-0.5236630643833291,1.8994364958824501,1.2222615746993173
1986,0.188349674070199,1.285196864394701,2.5495224094982705,2.09252524792132,0.25238809098189996,1.138042305387455,-0.5937726816666578,-0.1454302145889504
1987,0.7103854703221691,-0.2107049890793503,0.5122891989973002,-0.2661879355542781,-0.17190357125416222,0.7990019945910555,0.11752601569881461,-0.8212493343861287
1988,1.6054773562935243,-0.5988283736655836,0.926479958891444,-0.38488436671438875,0.6524257306764162,-0.11364716398313827,0.38757775369291136,0.28100866682337883
1989,-0.9074621058910256,-0.8579795780264411,-1.4919132247663938,-1.8736739324169962,-1.0667856919979548,-0.826476017312067,-0.830032111805402,-0.23666399299849955
1990,1.591341601432964,1.1203177656612044,0.4041189875416951,1.542881336595373,0.5479617923485748,0.4356084866122548,0.09660583269395463,1.4997425065598482
1991,0.034963592263644386,-0.6171301421709574,-0.004048640468199096,-0.8335048589657252,0.5859699667620252,-1.2384074307361188,0.10475125225476425,-1.3504301990924168
1992,-0.1726388399289213,-0.7338545940423598,-0.9937342767010183,-0.502529612281419,-0.22731446221308382,0.6962758411241381,-0.8244063438721234,-0.5527454949995151
1993,0.09131131443040127,-1.0449735394603152,-1.4342372937341172,-0.5352760557581583,0.14306148589227802,-1.1163704108072547,-0.7960544230231179,-0.45443477294398416
1994,0.680243057212424,0.8465596165620262,0.9787388617551522,0.617193386108983,0.12257037515448084,1.2531943674297314,-0.5681617612604718,-0.7442871875107784
1995,-0.836562273774496,-1.2113282533972478,-0.9582700278588893,-0.5156174847881352,-0.9375905637452973,-1.3389922575594695,0.18287246123599663,-0.025142642994599035
1996,0.7815324179199512,1.5508609125231905,1.633899281323354,1.113783553259591,1.215788089677333,1.2848688712849,-0.27829124854943804,0.3761844948515361
1997,-0.9597268815586544,-0.5805412770176207,-0.5160465052200942,-0.9446668552825013,0.22440132734071164,-1.254101622934069,0.7854220267650017,-0.26978282826819344
1998,0.26693178697670206,1.3886388989620602,0.8860301672501288,1.1204429267388591,-0.28470277854699766,1.0664204905555519,1.513555356732109,1.7484674854555693
1999,-0.6058491477380854,-1.0513957412395034,-1.1778108361393802,-1.1175282965179798,-0.9900521752848873,-1.12954609355756,-0.05305151033426907,-0.48313566584628165
2000,0.03314090222324391,1.327507307017136,0.27695440734750615,-0.31477105590110727,-0.08155086385956692,1.0194957791595778,1.0159914315935616,0.19037215798936002
2001,-0.5121244000235887,-0.6172603022611313,-0.5985680930077238,-0.6558703523475403,0.12317152763195251,-0.9418030699583557,-0.044563100267752995,-0.5702733760032198
2002,0.24877360119664058,1.0239306702052133,0.34124192972769624,1.2263409551893636,-0.79744520713281,0.8719705690534428,0.297645490298931,1.6389969782101217
2003,-1.55654243065227,-1.094975129737075,-1.0907058681274915,-1.3067210213888474,-2.00949834570564,-1.5320001646778236,-0.7329630658411632,-0.15507783241037987
2004,-0.7825929143052047,-0.6997751080892226,-0.1654771941622944,0.14912187453847828,0.01176399281461608,0.9540245152468625,-0.8594263087046097,0.1292448096694132
2005,0.7288410131906535,0.9293982990157313,-0.1835838150486806,0.1653926440344923,1.64945340298246,0.47001010200794346,-0.2088702484793049,-0.524030730305275
2006,-0.25805990649744903,-0.04771252782071892,0.059649096820848374,-0.14364212519913594,-0.08194433506300082,-0.5254650591606239,-0.5298931505160854,-1.155052220629327
2007,-1.512228595251258,-0.8087314877603075,-0.7163547907753556,-0.29420099001108013,-1.6153134298490366,-0.8715277640425151,-0.4069745832612786,-0.3212174774380174
2008,0.3593613309285714,1.7735069810104505,0.6584818540581012,2.0188871935810826,0.636177056446494,1.3250485638414387,0.7964084200449868,-0.3538362993233892
2009,1.89374399519556,-0.7527152349459207,0.039644333583788986,0.49106126767651986,0.8320936944875603,0.5064812953204915,0.31208195789451504,2.3411067470452998
2010,-0.6607467476914203,-0.09556101898725361,-0.6751807162803963,-1.0240910774586418,-0.5802162720406818,-1.1696538299921344,-0.9272776010228972,-0.366817460360596
2011,0.9388583642760159,0.43746356823111815,0.07604147366308668,-0.21079824877433342,0.8955837527899649,0.25654324239545506,-0.7325692191467474,-0.3495261760320496
2012,-0.6292391617222759,-1.2709115244317257,-0.7087955160945013,-0.25466738770439934,-0.6320066110425289,0.036250194572918185,-0.13361373343004543,0.615127324231144
2013,1.4940325243094001,1.9969166091757324,1.0588617479057325,1.9509374801749497,-0.014802761683828663,1.9828972837528664,3.360843383658976,2.551921982396589
2014,-1.9122569849655509,-1.086439595469476,-0.8312996614875692,-1.7727115220487242,-1.1765289347059253,-1.4978998667890515,-1.4851365744504665,-1.8203856457192111
2015,0.9424140273691108,-0.8083220979993098,0.22759212118904218,0.02524157964097252,0.7848054406242505,0.6595949941321664,-0.8942621654507878,-0.7318622353639351
2016,0.49954767845854225,-1.5212627291940888,-0.5920988691491021,-0.16610846624671005,-0.1489653352269334,0.4939369137794413,-0.03967384330559326,-0.5983291803437966
