wint_season,Pine Siskin,Red-breasted Nuthatch,Evening Grosbeak,Pine Grosbeak,Purple Finch,redpoll sp.,Red Crossbill,White-winged Crossbill
1983,-1.7230894155941092,-0.24864346921623798,-2.274529912727472,-0.7153823970898233,-0.34746420621933527,-0.8716788100749987,-0.20978085033623964,-1.5993972807301315
1984,0.3188949707198907,0.03917059383572377,0.5152125335550625,0.2248145475148688,-0.07105798337465992,-0.8493220961171347,0.03275617135009998,-0.45445692698510615
1985,-0.007698599938790877,1.3072064940850476,1.2327883640715218,2.1525382577529983,0.60066401615982,0.8576893373207979,2.465077471299276,1.771097195610473
1986,0.07436614340600796,0.29832803048531154,-0.31761211909286235,-0.17655256578202522,-1.2197389086450836,0.9000087805328564,0.4676677241157349,3.3978475832246438
1987,-0.20001633126629415,0.28285404042160356,0.32976699257341135,-0.12551056828962465,1.012401285229399,-0.0013247654327185818,-1.9849051709954324,-0.612057352479632
1988,0.2521624418038368,0.3508435916251201,1.2277542619819766,0.4432443555340629,-0.8462569383231424,-0.011634453341067144,1.280437095139684,0.20868814969718363
1989,-0.041083584269962094,-1.334316995621778,0.30840999162181554,-1.0704448025964086,-0.8298581586406201,-0.5268852258562746,-0.24627613906984405,-1.0823059455533426
1990,0.5800652873973281,-0.33636827517071644,0.6512326842168393,0.09397059822145659,2.2265565722435774,1.311533766846064,-0.8460100426367752,0.14994475185844675
1991,-1.1505879500412255,0.5423392011710993,0.629829260289782,-1.2820359878504246,1.543330178228088,-0.18620611094514047,-0.17916496494703274,-0.10675541125400648
1992,-0.3317015450268518,-0.6939597096453988,0.12231044872860605,-0.062168734782959506,-0.41398560838872817,0.5315338313400707,0.5705020528510696,0.5365652071075477
1993,1.5376718652311363,0.025036306553030973,0.9039898282226037,0.45400496481163216,-0.6876650446858465,0.40940340733915176,-0.4932348355624874,-0.8822492916965127
1994,0.2297392552106265,-0.5445672617860218,-0.7159722667223474,-0.6383333479722647,-0.1396191971067096,-0.3115133569100124,-0.3454812213989415,0.8520978835430355
1995,0.3215756306656973,-0.4784207305387246,1.0255206019735759,1.156660299350617,0.8178603872606443,-0.794328406185166,-0.08461541498174108,-1.1156214870560186
1996,0.48926367504684226,-0.6134001492828333,-0.60582763840962806,-0.2678717239045012,1.2759973706514791,-0.2104586312491743,-0.5246742540145799,0.7888304829776064
1997,0.2489848569856004,2.2550655630018746,1.7241063182488572,0.6620857966742966,0.04364145039786397,-0.6563612771516618,2.543560961071795,0.00781351474665517
1998,-0.7248460938343574,-0.5105371428650102,-1.9003507575545016,-0.17287941741728782,-1.8445159508714477,-0.32721419540023233,0.258394937582868,0.7770900156510641
1999,0.9236421034368699,0.8565937421314583,0.6262411944066542,0.4615627643735305,0.45352650219690416,-0.9385522709974558,-0.964688837961062,-0.2295485501520945
2000,-0.9568101302260136,-1.4800085405868995,-1.1476474800365648,-1.0686141810274215,-0.051525743736949334,0.07665930255236535,-0.7301545757103353,-0.6220630250755216
2001,0.5723827762442826,0.7662289279313751,0.7688951139205318,-0.6667966575267088,-1.4870349275232184,-1.0339804261374352,1.0382271745608447,-0.7581755326777726
2002,1.4851630347269629,-0.05923628085483174,-0.36921419377467085,0.3457355066967733,-0.2976574804491471,1.9640851054620954,-0.10009865442269018,-0.31343928231340873
2003,-0.44530997107423237,0.14723917818662027,-0.08901142075438938,-0.923873007050725,-0.9600283200107962,-1.0115340917692333,-0.5999799980573794,0.41379440472597573
2004,-1.8739415864004665,-1.9088061128293532,-1.6055669813004634,-0.6801763729548048,-1.774109867953701,0.4139290209486102,-1.1610154439374776,-0.34256200279047366
2005,0.9646227327226505,1.8343259126097162,0.29730253541101426,1.4626320675821487,0.2833868258189726,0.9028036387881457,1.5284458218230819,0.08688993910931454
2006,-0.6879611035958464,-1.329526974720502,-1.1349664771903247,-1.1573772837512553,0.01946849734142611,-1.3098246315220698,-0.203866811466491,0.002775821646982386
2007,-0.9241446669174261,-0.2618976724219751,-1.0708271249373635,0.6737292448851543,1.3110673321764037,0.7811785991676768,-0.08122627329791976,-0.18001623069971392
2008,0.4607431895764311,1.3120992709330261,-0.498428290914485,-0.7478367239495076,0.09749801230292704,0.29879078554120087,0.7593934086009492,0.07506473360018366
2009,1.216004307511551,0.02230088619559528,-0.1049480298148669,1.236964094212878,-0.7520826898407736,0.04406284385673036,-0.0533065754398203,1.0159979988170857
2010,-0.09683400623455626,-0.09612530838348465,-0.18739821137598633,0.06666874707196438,-0.6031897020291976,-0.2644073326919148,-1.0862879219858412,-0.9240625364275483
2011,0.031658351958777725,-0.264167654860407,1.0904810659518658,-0.35283675900083794,0.3610233398955373,-1.3750708785404921,-1.2331104889995999,0.13352615760222955
2012,-0.2645361234940415,-0.7978557000463032,-0.16569664711559612,0.12177818019857543,0.8623273387215855,1.1106371935970591,-0.2837110609512419,-0.9115682389184597
2013,0.8732129384938971,0.9975792669186229,1.679001477231674,1.6316929125547905,0.09919707709190305,2.6267541884750103,1.4966130530054202,1.4519010233092542
2014,-2.3990303392230126,-0.3453221254298864,-0.8632593326506954,-1.3107192534576322,-0.45076448996665397,-1.2321315206407573,-0.7121722126685492,-1.3496069384782186
2015,0.48271468280250873,0.7452130488961617,1.4023180905291606,1.3632883435289957,0.3250358398705524,-0.18920434972198394,0.4796926252628897,-0.45826964675169557
2016,1.3344096772185072,0.18316692771723248,0.5886174231603626,1.3818506603308753,-1.234201904192519,1.3878915020812528,1.819129778938784,1.700713712324097
